"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008050771","2","0","IN","6","T233597 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050774","2","0","","1","S34374 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050775","2","0","","6","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050839","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008051736","1","0","QC","6","EI840I ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008052214","2","0","","7","NIA ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008053643","1","0","IN","6","XN2229 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008053643","2","0","NJ","6","20443C ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008053990","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008054076","1","0","","6","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008054190","2","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008054216","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008054633","2","0","NY","6","AE33396 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008055033","1","0","NJ","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008056265","3","0","ME","6","1170372 ","1997","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008056266","2","0","NE","6","157326 ","2005","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008056273","1","0","ME","7","1337591 ","2007","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009012660","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013348","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013412","1","0","","7","PS26080 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008070984","1","0","","","NII ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009004190","1","0","ME","7","2023550 ","2020","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008057370","1","0","Y ","1","1 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008057370","2","0","","","1 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
