"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008095560","1","U","U","U","U","0","N","N","U","U","99999","","","","","","","","U","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095580","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095581","2","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095583","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095584","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095598","1","U","U","U","U","9","U","U","U","U","99999","U","U","9","U","U","U","U","Y","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095602","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095673","1","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095681","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095684","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095686","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095704","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095706","1","N","Y","Y","Y","1","Y","Y","Y","N","00600","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
