"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2009013597","2","1","1","4","99","99","01","1","26","F","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013597","1","1","1","0","99","99","01","0","36","U","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013615","1","1","1","0","99","99","01","3","28","M","1","3","N","PA","1","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013616","1","1","1","3","03","12","01","1","18","M","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013653","2","1","7","4","00","00","00","0","20","F","0","0","Y","","9","99","2","9","2008","67","PERSON_2008_Philadelphia","67301"
"2009013653","1","1","1","9","99","99","01","0","99","U","0","0","","ZZ","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013683","2","1","1","4","03","00","01","0","36","F","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013683","1","1","1","0","03","00","01","0","53","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013683","3","2","2","0","03","00","03","0","35","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013683","3","1","1","0","03","00","01","0","44","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013703","2","1","1","9","99","99","01","0","81","M","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013703","1","1","1","0","03","00","01","0","51","M","0","0","N","PA","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013714","2","3","2","0","01","10","04","1","99","F","0","0","N","DE","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013714","2","2","2","0","01","10","03","1","99","F","0","0","N","DE","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013714","2","1","1","0","01","10","01","1","18","F","0","0","N","DE","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013714","1","1","1","0","99","10","01","1","26","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013755","1","1","1","8","99","99","01","0","72","M","0","9","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013755","2","2","1","8","99","99","01","0","38","F","0","9","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013847","4","1","1","0","99","99","01","0","99","M","0","0","N","ZZ","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013847","3","1","1","0","99","99","01","0","49","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013847","1","1","1","0","99","99","01","0","45","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009013847","2","1","1","0","99","99","01","0","43","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009014232","2","1","1","0","99","00","01","0","24","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009014232","1","1","1","0","99","99","01","0","47","F","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008094924","1","1","1","0","99","99","01","0","77","M","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008094924","3","3","2","8","99","99","03","0","29","F","0","0","","MD","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008094924","3","2","2","8","99","99","05","0","19","F","0","0","","MD","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008094924","3","1","1","8","99","99","01","0","22","M","0","0","Y","MD","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008094924","2","1","1","0","99","99","01","0","31","F","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008066373","2","4","2","4","03","10","03","1","41","F","0","0","N","FL","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008066373","2","3","1","4","03","10","01","1","53","M","0","0","N","FL","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008066373","1","2","2","0","03","12","03","1","22","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008066373","1","1","1","0","03","12","01","1","27","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008083223","1","1","1","4","99","04","01","0","39","F","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008084157","2","1","1","0","03","00","01","1","27","M","0","1","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008084157","1","1","1","0","03","00","01","1","17","F","0","1","N","PA","4","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008087507","2","1","1","4","00","00","01","1","25","F","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008087507","1","1","1","4","00","00","01","1","24","M","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008087507","3","1","1","4","00","00","01","1","28","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008087507","4","1","1","4","00","00","01","1","35","M","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127420","1","1","1","9","03","02","01","1","65","F","0","1","N","FL","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127420","2","2","1","0","03","10","01","1","46","M","0","1","N","NY","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008135560","1","1","1","0","03","12","01","1","22","F","0","1","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008136723","2","2","1","0","03","12","01","1","27","F","0","1","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008136723","1","1","1","0","03","12","01","1","22","M","0","1","N","NJ","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009000537","2","2","7","3","00","00","00","0","20","M","0","0","N","","0","99","2","9","2008","67","PERSON_2008_Philadelphia","67301"
"2009000537","1","1","1","0","99","99","01","1","99","M","0","0","N","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
